Date,Open,High,Low,Close,Adj Close,Volume
2022-06-24,103.730003,107.089996,102.580002,107.000000,107.000000,2563300
2022-06-27,108.660004,109.089996,103.894997,106.269997,106.269997,1639100
2022-06-28,106.349998,106.349998,98.610001,99.000000,99.000000,2539000
2022-06-29,97.639999,98.089996,93.709999,97.959999,97.959999,3052800
2022-06-30,96.949997,97.070000,92.055000,93.830002,93.830002,2399300
2022-07-01,94.680000,97.629997,93.660004,97.519997,97.519997,1987500
2022-07-05,95.809998,104.879997,94.559998,104.830002,104.830002,2555600
2022-07-06,104.029999,105.349998,101.730003,102.870003,102.870003,1591900
2022-07-07,102.610001,106.099998,102.279999,105.830002,105.830002,1544100
2022-07-08,103.599998,106.160004,101.739998,104.239998,104.239998,1433700
2022-07-11,102.239998,103.158997,98.720001,99.150002,99.150002,1744400
2022-07-12,100.010002,102.169998,98.019997,99.580002,99.580002,1137600
2022-07-13,95.959999,100.339996,94.750000,99.209999,99.209999,1443500
2022-07-14,98.059998,98.500000,95.930000,96.320000,96.320000,1335800
2022-07-15,97.809998,102.599998,96.580002,102.330002,102.330002,1608100
2022-07-18,104.449997,108.000000,102.589996,103.570000,103.570000,1576200
2022-07-19,105.949997,108.964996,102.589996,108.680000,108.680000,1964500
2022-07-20,110.000000,114.044998,109.315002,113.250000,113.250000,2075800
2022-07-21,112.660004,115.800003,111.699997,115.620003,115.620003,2381400
2022-07-22,113.190002,116.360001,110.199997,111.650002,111.650002,2046300
2022-07-25,110.599998,112.180000,108.529999,110.419998,110.419998,1595500
2022-07-26,105.940002,107.349998,103.394997,103.970001,103.970001,2752600
2022-07-27,118.040001,121.639999,114.235001,116.610001,116.610001,7373300
2022-07-28,115.529999,117.247002,110.760002,114.589996,114.589996,2637400
2022-07-29,112.900002,115.349998,110.360001,113.019997,113.019997,1708100
2022-08-01,111.440002,115.834999,110.199997,115.349998,115.349998,1684000
2022-08-02,113.790001,117.180000,113.419998,116.000000,116.000000,1116100
2022-08-03,117.599998,120.559998,116.570000,120.459999,120.459999,1698500
2022-08-04,120.580002,124.629997,120.099998,122.400002,122.400002,1459200
2022-08-05,118.459999,120.559998,116.829002,118.730003,118.730003,1304100
2022-08-08,119.860001,123.415001,118.730003,119.699997,119.699997,998000
2022-08-09,118.230003,118.754997,113.639999,115.559998,115.559998,1090800
2022-08-10,119.550003,120.900002,116.660004,120.089996,120.089996,1369800
2022-08-11,122.599998,126.269997,120.940002,122.730003,122.730003,1985500
2022-08-12,124.169998,124.680000,121.849998,123.629997,123.629997,910200
2022-08-15,122.830002,124.669998,121.449997,122.599998,122.599998,1021700
2022-08-16,121.480003,121.739998,117.860001,120.099998,120.099998,872700
2022-08-17,117.970001,118.279999,113.779999,114.150002,114.150002,1411600
2022-08-18,113.629997,115.440002,112.010002,114.389999,114.389999,1102400
2022-08-19,113.000000,113.440002,110.070000,111.430000,111.430000,963400
2022-08-22,108.680000,110.910004,107.660004,109.599998,109.599998,1213700
2022-08-23,109.629997,110.919998,107.419998,108.029999,108.029999,895900
2022-08-24,108.089996,112.105003,108.050003,110.050003,110.050003,702000
2022-08-25,111.639999,113.599998,110.669998,113.529999,113.529999,860500
2022-08-26,113.910004,114.190002,109.029999,109.309998,109.309998,908500
2022-08-29,107.449997,110.699997,106.870003,108.559998,108.559998,966000
2022-08-30,110.320000,111.510002,105.769997,107.230003,107.230003,951600
2022-08-31,109.500000,110.080002,107.349998,108.150002,108.150002,1050400
2022-09-01,106.059998,107.089996,102.180000,106.519997,106.519997,1570600
